LineNumber Seconds Frequency,Hz
6830 3685,928 122,82681
6831 3686,483 122,82680
6832 3687,028 122,82678
6833 3687,564 122,82677
6834 3688,097 122,82675
6835 3688,628 122,82674
6836 3689,164 122,82673
6837 3689,715 122,82674
6838 3690,251 122,82674
6839 3690,787 122,82674
6840 3691,330 122,82675
6841 3691,862 122,82673
6842 3692,390 122,82677
6843 3692,923 122,82678
6844 3693,468 122,82678
6845 3694,000 122,82678
6846 3694,533 122,82678
6847 3695,072 122,82677
6848 3695,613 122,82417
6849 3696,140 122,82388
6850 3696,672 122,82352
6851 3697,208 122,82305
6852 3697,741 122,82243
6853 3698,288 122,42113
6854 3698,834 122,41955
6855 3699,363 122,40913
6856 3699,893 122,40911
6857 3700,422 122,40913
6858 3700,964 122,40910
6859 3701,509 122,40910
6860 3702,047 122,40910
6861 3702,581 122,40907
6862 3703,115 122,40907
6863 3703,647 122,40905
6864 3704,200 122,40906
6865 3704,744 122,40905
6866 3705,283 122,40902
6867 3705,817 122,40902
6868 3706,346 122,40902
6869 3706,884 122,40906
6870 3707,427 122,40906
6871 3707,953 122,40906
6872 3708,486 122,40906
6873 3709,021 122,40907
6874 3709,563 122,40910
6875 3710,094 122,40911
6876 3710,635 122,40907
6877 3711,186 121,99438
6878 3711,725 121,99438
6879 3712,268 121,99439
6880 3712,798 121,99438
6881 3713,331 121,99437
6882 3713,859 121,99438
6883 3714,394 121,99439
6884 3714,928 121,99435
6885 3715,476 121,99438
6886 3716,021 121,99438
6887 3716,552 121,99438
6888 3717,097 121,99437
6889 3717,627 121,99437
6890 3718,164 121,99439
6891 3718,716 121,99438
6892 3719,262 121,99438
6893 3719,800 121,99439
6894 3720,333 121,99437
6895 3720,863 121,99437
6896 3721,394 121,99435
6897 3721,930 121,99435
6898 3722,470 121,98599
6899 3723,003 121,98485
6900 3723,534 121,98338
6901 3724,062 121,58765
6902 3724,600 121,58688
6903 3725,140 121,58631
6904 3725,672 121,58585
6905 3726,207 121,58549
6906 3726,741 121,58227
6907 3727,295 121,58225
6908 3727,836 121,58228
6909 3728,377 121,58227
6910 3728,909 121,58227
6911 3729,444 121,58224
6912 3729,992 121,58224
6913 3730,535 121,58224
6914 3731,062 121,58227
6915 3731,597 121,58228
6916 3732,127 121,58228
6917 3732,656 121,58227
6918 3733,203 121,58227
6919 3733,736 121,58225
6920 3734,265 121,58225
6921 3734,809 121,58224
6922 3735,351 121,58224
6923 3735,900 121,58223
6924 3736,445 121,58221
6925 3736,986 121,17416
6926 3737,519 121,17400
6927 3738,054 121,17388
6928 3738,599 121,17381
6929 3739,127 121,17373
6930 3739,656 121,17367
6931 3740,187 121,17306
6932 3740,724 121,17306
6933 3741,258 121,17304
6934 3741,806 121,17303
6935 3742,349 121,17303
6936 3742,880 121,17303
6937 3743,407 121,17303
6938 3743,940 121,17303
6939 3744,480 121,17303
6940 3745,027 121,17307
6941 3745,562 121,17307
6942 3746,096 121,17307
6943 3746,632 121,17308
6944 3747,179 121,17308
6945 3747,723 121,17310
6946 3748,256 121,17310
6947 3748,781 121,17308
6948 3749,324 121,17308
6949 3749,868 121,17310
6950 3750,417 120,76653
6951 3750,965 120,76653
6952 3751,503 120,76653
6953 3752,036 120,76652
6954 3752,564 120,76652
6955 3753,097 120,76650
6956 3753,627 120,76649
6957 3754,169 120,76652
6958 3754,707 120,76652
6959 3755,235 120,76652
6960 3755,765 120,76649
6961 3756,297 120,76649
6962 3756,830 120,76649
6963 3757,360 120,76649
6964 3757,890 120,76648
6965 3758,435 120,76649
6966 3758,977 120,76648
6967 3759,528 120,76649
6968 3760,068 120,76649
6969 3760,599 120,76652
6970 3761,126 120,76652
6971 3761,670 120,76653
6972 3762,213 120,76652
6973 3762,757 120,76653
6974 3763,304 120,36285
6975 3763,849 120,36283
6976 3764,395 120,36282
6977 3764,928 120,36282
6978 3765,474 120,36281
6979 3766,010 120,36281
6980 3766,553 120,36281
6981 3767,099 120,36278
6982 3767,646 120,36277
6983 3768,179 120,36278
6984 3768,722 120,36275
6985 3769,254 120,36275
6986 3769,782 120,36273
6987 3770,315 120,36277
6988 3770,843 120,36275
6989 3771,375 120,36274
6990 3771,907 120,36277
6991 3772,451 120,36277
6992 3772,989 120,36275
6993 3773,522 120,36275
6994 3774,064 120,36275
6995 3774,598 120,36277
6996 3775,130 120,36278
6997 3775,657 120,36278
6998 3776,189 119,96170
6999 3776,720 119,96170
7000 3777,262 119,96170
7001 3777,799 119,96170
7002 3778,334 119,96170
7003 3778,886 119,96172
7004 3779,421 119,96174
7005 3779,959 119,96178
7006 3780,503 119,96176
7007 3781,035 119,96175
7008 3781,563 119,96175
7009 3782,104 119,96175
7010 3782,645 119,96172
7011 3783,172 119,96172
7012 3783,703 119,96172
7013 3784,234 119,96169
7014 3784,765 119,96165
7015 3785,298 119,96165
7016 3785,830 119,96169
7017 3786,360 119,96168
7018 3786,890 119,96170
7019 3787,429 119,95596
7020 3787,969 119,95524
7021 3788,512 119,95427
7022 3789,046 119,72747
7023 3789,580 119,57058
7024 3790,114 119,56963
7025 3790,643 119,56889
7026 3791,172 119,56322
7027 3791,702 119,56322
7028 3792,249 119,56321
7029 3792,783 119,56322
7030 3793,330 119,56321
7031 3793,863 119,56322
7032 3794,390 119,56322
7033 3794,936 119,56322
7034 3795,470 119,56323
7035 3796,002 119,56325
7036 3796,543 119,56325
7037 3797,085 119,56326
7038 3797,625 119,56329
7039 3798,156 119,56329
7040 3798,690 119,56329
7041 3799,221 119,56325
7042 3799,758 119,56326
7043 3800,302 119,56326
7044 3800,834 119,56327
7045 3801,389 119,56326
7046 3801,923 119,56325
7047 3802,459 119,16746
7048 3803,006 119,16746
7049 3803,547 119,16746
7050 3804,083 119,16746
7051 3804,613 119,16744
7052 3805,149 119,16742
7053 3805,698 119,16742
7054 3806,249 119,16742
7055 3806,786 119,16742
7056 3807,313 119,16743
7057 3807,852 119,16743
7058 3808,393 119,16742
7059 3808,928 119,16742
7060 3809,469 119,16742
7061 3810,003 119,16742
7062 3810,538 119,16743
7063 3811,078 119,16742
7064 3811,619 119,16742
7065 3812,160 119,16742
7066 3812,692 119,16563
7067 3813,220 119,15509
7068 3813,752 119,15363
7069 3814,288 119,15182
7070 3814,828 119,13545
7071 3815,368 118,87955
7072 3815,910 117,30260
7073 3816,441 117,19096
7074 3816,972 117,19100
7075 3817,503 117,19099
7076 3818,045 117,19096
7077 3818,579 117,19102
7078 3819,113 117,19098
7079 3819,643 117,19098
7080 3820,175 117,19098
7081 3820,706 117,19044
7082 3821,247 117,19049
7083 3821,782 117,19098
7084 3822,313 117,19098
7085 3822,850 117,19098
7086 3823,405 117,19098
7087 3823,942 117,19097
7088 3824,471 117,19096
7089 3825,013 117,19098
7090 3825,553 117,19097
7091 3826,106 117,19100
7092 3826,653 117,19097
7093 3827,188 117,19099
7094 3827,723 117,19100
7095 3828,256 118,38474
7096 3828,810 118,38458
7097 3829,347 118,38447
7098 3829,877 118,38438
7099 3830,406 118,38432
7100 3830,937 118,38425
7101 3831,482 118,38369
7102 3832,027 118,38372
7103 3832,563 118,38369
7104 3833,095 118,38367
7105 3833,630 118,38366
7106 3834,186 118,38366
7107 3834,731 118,38366
7108 3835,265 118,38366
7109 3835,799 118,38366
7110 3836,329 118,38366
7111 3836,862 118,38367
7112 3837,397 118,38367
7113 3837,937 118,38367
7114 3838,468 118,38369
7115 3839,003 118,37997
7116 3839,534 118,37955
7117 3840,062 118,37901
7118 3840,597 118,37833
7119 3841,133 118,37740
7120 3841,676 118,00463
7121 3842,204 118,00349
7122 3842,735 118,00259
7123 3843,265 117,99568
7124 3843,802 117,99568
7125 3844,345 117,99568
7126 3844,874 117,99568
7127 3845,412 117,99567
7128 3845,954 117,99567
7129 3846,487 117,99568
7130 3847,020 117,99567
7131 3847,548 117,99567
7132 3848,080 117,99566
7133 3848,610 117,99566
7134 3849,143 117,99566
7135 3849,678 117,99564
7136 3850,218 117,99564
7137 3850,751 117,99562
7138 3851,283 117,99562
7139 3851,813 117,99562
7140 3852,351 117,99028
7141 3852,891 117,98960
7142 3853,428 117,98876
7143 3853,973 117,98759
7144 3854,499 117,61751
7145 3855,035 117,61674
7146 3855,567 117,61595
7147 3856,099 117,61533
7148 3856,627 117,61014
7149 3857,159 117,61014
7150 3857,691 117,61015
7151 3858,220 117,61015
7152 3858,751 117,61015
7153 3859,282 117,61015
7154 3859,819 117,61018
7155 3860,364 117,61016
7156 3860,893 117,61016
7157 3861,421 117,61018
7158 3861,955 117,61018
7159 3862,485 117,61018
7160 3863,017 117,61018
7161 3863,548 117,61018
7162 3864,078 117,61020
7163 3864,609 117,61020
7164 3865,141 117,61020
7165 3865,671 117,61020
7166 3866,204 117,61018
7167 3866,742 117,61018
7168 3867,287 117,22717
7169 3867,830 117,22717
7170 3868,363 117,22717
7171 3868,894 117,22717
7172 3869,428 117,22717
7173 3869,973 117,22717
7174 3870,499 117,22719
7175 3871,034 117,22719
7176 3871,565 117,22719
7177 3872,096 117,22717
7178 3872,628 117,22717
7179 3873,159 117,22717
7180 3873,694 117,22719
7181 3874,237 117,22719
7182 3874,772 117,22719
7183 3875,312 117,22719
7184 3875,849 117,22719
7185 3876,374 117,22719
7186 3876,908 117,22719
7187 3877,440 117,22719
7188 3877,974 117,22721
7189 3878,499 117,22173
7190 3879,032 117,22124
7191 3879,576 117,22040
7192 3880,112 117,21925
7193 3880,646 116,85393
7194 3881,190 116,85297
7195 3881,725 116,85222
7196 3882,270 116,85163
7197 3882,802 116,84664
7198 3883,332 116,84667
7199 3883,865 116,84666
7200 3884,391 116,84669
7201 3884,922 116,84667
7202 3885,456 116,84669
7203 3885,984 116,84669
7204 3886,518 116,84671
7205 3887,052 116,84671
7206 3887,586 116,84672
7207 3888,125 116,84673
7208 3888,663 116,84677
7209 3889,210 116,84677
7210 3889,756 116,84675
7211 3890,301 116,84673
7212 3890,828 116,84260
7213 3891,364 116,84226
7214 3891,892 116,84173
7215 3892,425 116,84106
7216 3892,954 116,84013
7217 3893,484 116,47718
7218 3894,015 116,47601
7219 3894,546 116,47512
7220 3895,077 116,47458
7221 3895,609 116,46870
7222 3896,140 116,46870
7223 3896,683 116,46867
7224 3897,219 116,46867
7225 3897,750 116,46867
7226 3898,295 116,46867
7227 3898,828 116,46866
7228 3899,361 116,46864
7229 3899,901 116,46864
7230 3900,447 116,46864
7231 3900,985 116,46864
7232 3901,528 116,46866
7233 3902,069 116,46867
7234 3902,610 116,46867
7235 3903,150 116,46867
7236 3903,699 116,46864
7237 3904,239 116,46867
7238 3904,773 116,46867
7239 3905,320 116,46864
7240 3905,866 116,46864
7241 3906,407 116,09306
7242 3906,942 116,09306
7243 3907,475 116,09306
7244 3908,021 116,09306
7245 3908,547 116,09306
7246 3909,078 116,09307
7247 3909,611 116,09307
7248 3910,141 116,09308
7249 3910,679 116,09308
7250 3911,220 116,09308
7251 3911,753 116,09309
7252 3912,281 116,09309
7253 3912,813 116,09309
7254 3913,349 116,09308
7255 3913,883 116,09309
7256 3914,426 116,09308
7257 3914,961 116,09308
7258 3915,500 116,09308
7259 3916,034 116,09309
7260 3916,564 116,09197
7261 3917,097 116,09187
7262 3917,630 116,09174
7263 3918,165 116,09155
7264 3918,718 116,09134
7265 3919,256 116,09103
7266 3919,801 115,73197
7267 3920,345 115,71991
7268 3920,885 115,71991
7269 3921,426 115,71991
7270 3921,959 115,71989
7271 3922,490 115,71991
7272 3923,026 115,71991
7273 3923,566 115,71989
7274 3924,094 115,71989
7275 3924,626 115,71989
7276 3925,156 115,71989
7277 3925,697 115,71989
7278 3926,244 115,71987
7279 3926,789 115,71986
7280 3927,331 115,71986
7281 3927,866 115,71986
7282 3928,408 115,71987
7283 3928,944 115,71986
7284 3929,494 115,71986
7285 3930,034 115,71986
7286 3930,569 115,71985
7287 3931,110 115,71986
7288 3931,642 115,71985
7289 3932,171 115,71986
7290 3932,704 115,34908
7291 3933,238 115,34909
7292 3933,765 115,34909
7293 3934,303 115,34909
7294 3934,850 115,34910
7295 3935,398 115,34910
7296 3935,939 115,34910
7297 3936,474 115,34912
7298 3937,023 115,34912
7299 3937,576 115,34912
7300 3938,110 115,34914
7301 3938,645 115,34912
7302 3939,173 115,34914
7303 3939,703 115,34914
7304 3940,246 115,34914
7305 3940,780 115,34914
7306 3941,313 115,34914
7307 3941,850 115,34914
7308 3942,393 115,34911
7309 3942,928 115,34678
7310 3943,483 115,34653
7311 3944,018 115,34621
7312 3944,547 115,34579
7313 3945,086 115,34539
7314 3945,637 114,99169
7315 3946,175 114,99018
7316 3946,705 114,98068
7317 3947,241 114,98068
7318 3947,783 114,98068
7319 3948,318 114,98070
7320 3948,846 114,98070
7321 3949,379 114,98070
7322 3949,915 114,98071
7323 3950,460 114,98070
7324 3951,007 114,98071
7325 3951,554 114,98071
7326 3952,094 114,98071
7327 3952,627 114,98070
7328 3953,159 114,98070
7329 3953,696 114,98068
7330 3954,248 114,98068
7331 3954,784 114,98067
7332 3955,319 114,98066
7333 3955,865 114,98066
7334 3956,417 114,98067
7335 3956,963 114,98065
7336 3957,499 114,98065
7337 3958,033 114,98066
7338 3958,567 114,61459
7339 3959,102 114,61459
7340 3959,651 114,61459
7341 3960,192 114,61459
7342 3960,726 114,61461
7343 3961,269 114,61461
7344 3961,805 114,61462
7345 3962,351 114,61462
7346 3962,895 114,61463
7347 3963,424 114,61463
7348 3963,956 114,61462
7349 3964,486 114,61462
7350 3965,018 114,61462
7351 3965,551 114,61463
7352 3966,079 114,61463
7353 3966,610 114,61463
7354 3967,141 114,61463
7355 3967,673 114,61463
7356 3968,205 114,61463
7357 3968,739 114,61462
7358 3969,271 114,61462
7359 3969,804 114,61463
7360 3970,346 114,60474
7361 3970,876 114,60362
7362 3971,411 114,25381
7363 3971,946 114,25336
7364 3972,485 114,25304
7365 3973,015 114,25278
7366 3973,552 114,25262
7367 3974,078 114,25245
7368 3974,614 114,25086
7369 3975,147 114,25085
7370 3975,698 114,25084
7371 3976,248 114,25082
7372 3976,780 114,25079
7373 3977,322 114,25080
7374 3977,868 114,25079
7375 3978,415 114,25079
7376 3978,957 114,25080
7377 3979,489 114,25080
7378 3980,022 114,25080
7379 3980,568 114,25080
7380 3981,094 114,25080
7381 3981,625 114,25080
7382 3982,163 114,25079
7383 3982,716 114,25078
7384 3983,250 114,25078
7385 3983,782 114,25080
7386 3984,325 114,25080
7387 3984,865 113,88942
7388 3985,397 113,88943
7389 3985,946 113,88943
7390 3986,497 113,88943
7391 3987,032 113,88942
7392 3987,568 113,88942
7393 3988,121 113,88942
7394 3988,669 113,88945
7395 3989,203 113,88942
7396 3989,737 113,88940
7397 3990,271 113,88938
7398 3990,817 113,88940
7399 3991,346 113,88938
7400 3991,879 113,88940
7401 3992,406 113,88940
7402 3992,940 113,88940
7403 3993,474 113,88940
7404 3994,027 113,88938
7405 3994,564 113,88938
7406 3995,095 113,88940
7407 3995,639 113,88940
7408 3996,176 113,88938
7409 3996,711 113,88937
7410 3997,250 113,88938
7411 3997,788 113,53021
7412 3998,340 113,53019
7413 3998,881 113,53019
7414 3999,413 113,53020
7415 3999,963 113,53021
7416 4000,509 113,53020
7417 4001,049 113,53022
7418 4001,583 113,53023
7419 4002,117 113,53022
7420 4002,657 113,53023
7421 4003,202 113,53022
7422 4003,746 113,53021
7423 4004,287 113,53024
7424 4004,838 113,53022
7425 4005,384 113,53022
7426 4005,923 113,53020
7427 4006,455 113,53022
7428 4006,989 113,53021
7429 4007,519 113,53023
7430 4008,053 113,53021
7431 4008,605 113,53021
7432 4009,152 113,53021
7433 4009,692 113,53021
7434 4010,226 113,53020
7435 4010,766 113,17334
7436 4011,311 113,17334
7437 4011,855 113,17334
7438 4012,395 113,17335
7439 4012,929 113,17335
7440 4013,481 113,17335
7441 4014,019 113,17336
7442 4014,556 113,17335
7443 4015,099 113,17334
7444 4015,645 113,17334
7445 4016,178 113,17334
7446 4016,721 113,17335
7447 4017,263 113,17334
7448 4017,801 113,17334
7449 4018,336 113,17335
7450 4018,878 113,17334
7451 4019,406 113,17334
7452 4019,938 113,17332
7453 4020,468 113,17332
7454 4021,005 113,17334
7455 4021,538 113,17334
7456 4022,082 113,17334
7457 4022,610 113,17332
7458 4023,141 113,15997
7459 4023,676 112,81950
7460 4024,204 112,81937
7461 4024,736 112,81929
7462 4025,271 112,81921
7463 4025,818 112,81917
7464 4026,345 112,81911
7465 4026,879 112,81861
7466 4027,410 112,81863
7467 4027,946 112,81863
7468 4028,488 112,81865
7469 4029,015 112,81865
7470 4029,548 112,81867
7471 4030,083 112,81866
7472 4030,616 112,81866
7473 4031,168 112,81866
7474 4031,711 112,81866
7475 4032,251 112,81867
7476 4032,786 112,81868
7477 4033,319 112,81868
7478 4033,874 112,81868
7479 4034,408 112,81867
7480 4034,943 112,81867
7481 4035,483 112,81868
7482 4036,022 112,81869
7483 4036,569 112,46622
7484 4037,116 112,46620
7485 4037,657 112,46622
7486 4038,192 112,46622
7487 4038,726 112,46622
7488 4039,276 112,46622
7489 4039,818 112,46624
7490 4040,355 112,46624
7491 4040,894 112,46624
7492 4041,428 112,46622
7493 4041,971 112,46622
7494 4042,513 112,46622
7495 4043,052 112,46622
7496 4043,598 112,46622
7497 4044,124 112,46620
7498 4044,660 112,46624
7499 4045,188 112,46622
7500 4045,718 112,46622
7501 4046,263 112,46622
7502 4046,802 112,46620
7503 4047,352 112,46157
7504 4047,902 112,46102
7505 4048,456 112,46032
7506 4048,994 112,45969
7507 4049,538 112,31341
7508 4050,079 112,12237
7509 4050,616 112,12152
7510 4051,166 112,12088
7511 4051,708 112,12049
7512 4052,236 112,11591
7513 4052,774 112,11591
7514 4053,318 112,11591
7515 4053,863 112,11591
7516 4054,394 112,11593
7517 4054,929 112,11589
7518 4055,478 112,11591
7519 4056,029 112,11588
7520 4056,570 112,11589
7521 4057,112 112,11588
7522 4057,648 112,11585
7523 4058,202 112,11588
7524 4058,742 112,11591
7525 4059,283 112,11589
7526 4059,817 112,11486
7527 4060,348 112,11474
7528 4060,878 112,11461
7529 4061,413 112,11449
7530 4061,952 112,11430
7531 4062,485 112,11401
7532 4063,019 111,77908
7533 4063,553 111,76785
7534 4064,105 111,76785
7535 4064,645 111,76787
7536 4065,181 111,76785
7537 4065,724 111,76787
7538 4066,255 111,76787
7539 4066,781 111,76788
7540 4067,319 111,76788
7541 4067,859 111,76788
7542 4068,391 111,76785
7543 4068,926 111,76785
7544 4069,458 111,76785
7545 4069,987 111,76785
7546 4070,522 111,76785
7547 4071,062 111,76783
7548 4071,596 111,76781
7549 4072,126 111,76782
7550 4072,656 111,76780
7551 4073,198 111,76447
7552 4073,737 111,76419
7553 4074,265 111,76373
7554 4074,796 111,76316
7555 4075,334 111,76238
7556 4075,877 111,43049
7557 4076,415 111,42931
7558 4076,952 111,42841
7559 4077,497 111,42188
7560 4078,037 111,42188
7561 4078,583 111,42190
7562 4079,119 111,42188
7563 4079,671 111,42188
7564 4080,205 111,42188
7565 4080,736 111,42190
7566 4081,269 111,42191
7567 4081,807 111,42191
7568 4082,346 111,42193
7569 4082,876 111,42194
7570 4083,409 111,42194
7571 4083,943 111,42195
7572 4084,470 111,42197
7573 4085,011 111,42197
7574 4085,553 111,42194
7575 4086,105 111,42193
7576 4086,640 111,42193
7577 4087,180 111,42191
7578 4087,730 111,42191
7579 4088,277 111,42188
7580 4088,816 111,07806
7581 4089,351 111,07806
7582 4089,892 111,07807
7583 4090,422 111,07808
7584 4090,953 111,07809
7585 4091,485 111,07810
7586 4092,019 111,07809
7587 4092,546 111,07809
7588 4093,083 111,07809
7589 4093,631 111,07810
7590 4094,185 111,07810
7591 4094,723 111,07811
7592 4095,251 111,07811
7593 4095,789 111,07811
7594 4096,329 111,07811
7595 4096,865 111,07811
7596 4097,412 111,07813
7597 4097,959 111,07811
7598 4098,504 111,07813
7599 4099,037 111,07813
7600 4099,562 111,07405
7601 4100,096 111,07356
7602 4100,628 111,07309
7603 4101,159 111,07233
7604 4101,691 110,74435
7605 4102,222 110,74346
7606 4102,758 110,74255
7607 4103,298 110,74184
7608 4103,833 110,73638
7609 4104,366 110,73637
7610 4104,913 110,73637
7611 4105,462 110,73637
7612 4106,003 110,73637
7613 4106,532 110,73638
7614 4107,062 110,73637
7615 4107,602 110,73638
7616 4108,152 110,73638
7617 4108,692 110,73640
7618 4109,226 110,73640
7619 4109,773 110,73641
7620 4110,328 110,73643
7621 4110,872 110,73643
7622 4111,408 110,73643
7623 4111,943 110,73383
7624 4112,477 110,73361
7625 4113,029 110,73330
7626 4113,568 110,73287
7627 4114,111 110,73233
7628 4114,645 110,73178
7629 4115,179 110,40546
7630 4115,732 110,40436
7631 4116,275 110,39682
7632 4116,814 110,39681
7633 4117,349 110,39680
7634 4117,891 110,39679
7635 4118,431 110,39677
7636 4118,977 110,39680
7637 4119,518 110,39681
7638 4120,051 110,39682
7639 4120,579 110,39681
7640 4121,111 110,39681
7641 4121,647 110,39680
7642 4122,188 110,39681
7643 4122,722 110,39680
7644 4123,256 110,39680
7645 4123,806 110,39682
7646 4124,355 110,39682
7647 4124,890 110,39680
7648 4125,424 110,39680
7649 4125,953 110,39679
7650 4126,487 110,38860
7651 4127,025 110,38738
7652 4127,568 110,38622
7653 4128,094 110,06252
7654 4128,628 110,06208
7655 4129,158 110,06183
7656 4129,687 110,06155
7657 4130,225 110,06133
7658 4130,774 110,05927
7659 4131,314 110,05927
7660 4131,847 110,05930
7661 4132,376 110,05927
7662 4132,920 110,05927
7663 4133,465 110,05930
7664 4134,000 110,05929
7665 4134,535 110,05932
7666 4135,063 110,05932
7667 4135,601 110,05932
7668 4136,141 110,05930
7669 4136,671 110,05930
7670 4137,205 110,05935
7671 4137,738 110,05933
7672 4138,273 110,05932
7673 4138,825 110,05930
7674 4139,362 110,05930
7675 4139,902 110,05930
7676 4140,437 110,05927
7677 4140,975 109,72385
7678 4141,528 109,72387
7679 4142,077 109,72387
7680 4142,611 109,72385
7681 4143,144 109,72387
7682 4143,678 109,72387
7683 4144,235 109,72385
7684 4144,770 109,72387
7685 4145,305 109,72385
7686 4145,847 109,72385
7687 4146,381 109,72385
7688 4146,915 109,72385
7689 4147,464 109,72385
7690 4148,007 109,72384
7691 4148,552 109,72384
7692 4149,083 109,72385
7693 4149,616 109,72388
7694 4150,161 109,72387
7695 4150,686 109,72382
7696 4151,220 109,72382
7697 4151,754 109,72384
7698 4152,288 109,72384
7699 4152,833 109,72382
7700 4153,364 109,72382
7701 4153,892 109,39040
7702 4154,423 109,39042
7703 4154,959 109,39042
7704 4155,492 109,39042
7705 4156,041 109,39042
7706 4156,586 109,39043
7707 4157,128 109,39043
7708 4157,661 109,39043
7709 4158,189 109,39043
7710 4158,727 109,39047
7711 4159,270 109,39047
7712 4159,797 109,39045
7713 4160,330 109,39048
7714 4160,859 109,39048
7715 4161,390 109,39048
7716 4161,924 109,39049
7717 4162,458 109,39050
7718 4162,998 109,39049
7719 4163,535 109,39049
7720 4164,063 109,39050
7721 4164,603 109,39049
7722 4165,153 109,39046
7723 4165,692 109,39047
7724 4166,227 109,39045
7725 4166,771 109,05905
7726 4167,304 109,05906
7727 4167,859 109,05906
7728 4168,397 109,05905
7729 4168,941 109,05905
7730 4169,475 109,05904
7731 4170,008 109,05902
7732 4170,548 109,05903
7733 4171,080 109,05901
7734 4171,611 109,05901
7735 4172,145 109,05898
7736 4172,694 109,05898
7737 4173,242 109,05900
7738 4173,780 109,05902
7739 4174,313 109,05903
7740 4174,847 109,05905
7741 4175,382 109,05904
7742 4175,936 109,05905
7743 4176,480 109,05903
7744 4177,016 109,05903
7745 4177,550 109,05903
7746 4178,084 109,05905
7747 4178,629 109,05906
7748 4179,157 109,05905
7749 4179,687 109,05905
7750 4180,221 108,72957
7751 4180,756 108,72958
7752 4181,308 108,72959
7753 4181,852 108,72959
7754 4182,398 108,72960
7755 4182,953 108,72962
7756 4183,488 108,72961
7757 4184,024 108,72964
7758 4184,567 108,72964
7759 4185,103 108,72965
7760 4185,648 108,72966
7761 4186,193 108,72969
7762 4186,726 108,72965
7763 4187,273 108,72965
7764 4187,817 108,72969
7765 4188,347 108,72969
7766 4188,879 108,72967
7767 4189,413 108,72969
7768 4189,957 108,72967
7769 4190,487 108,72966
7770 4191,019 108,72966
7771 4191,549 108,72965
7772 4192,087 108,72965
7773 4192,633 108,72964
7774 4193,184 108,40224
7775 4193,730 108,40224
7776 4194,270 108,40223
7777 4194,802 108,40223
7778 4195,330 108,40221
7779 4195,863 108,40224
7780 4196,394 108,40224
7781 4196,924 108,40221
7782 4197,456 108,40223
7783 4197,984 108,40223
7784 4198,527 108,40226
7785 4199,062 108,40223
7786 4199,599 108,40224
7787 4200,138 108,40224
7788 4200,676 108,40221
7789 4201,204 108,40223
7790 4201,734 108,40224
7791 4202,279 108,40224
7792 4202,812 108,40221
7793 4203,347 108,40223
7794 4203,878 108,40223
7795 4204,407 108,39523
7796 4204,940 108,39449
7797 4205,472 108,39324
7798 4206,003 108,08102
7799 4206,542 108,08044
7800 4207,083 108,07999
7801 4207,617 108,07973
7802 4208,165 108,07944
7803 4208,718 108,07683
7804 4209,253 108,07680
7805 4209,782 108,07676
7806 4210,314 108,07678
7807 4210,856 108,07678
7808 4211,390 108,07679
7809 4211,923 108,07683
7810 4212,456 108,07682
7811 4212,991 108,07679
7812 4213,536 108,07678
7813 4214,068 108,07678
7814 4214,600 108,07680
7815 4215,154 108,07678
7816 4215,695 108,07680
7817 4216,240 108,07680
7818 4216,789 108,07681
7819 4217,330 108,07681
7820 4217,859 108,07680
7821 4218,391 108,06510
7822 4218,931 107,75410
7823 4219,468 107,75401
7824 4219,999 107,75391
7825 4220,533 107,75388
7826 4221,068 107,75381
7827 4221,600 107,75376
7828 4222,151 107,75327
7829 4222,703 107,75327
7830 4223,238 107,75329
7831 4223,773 107,75333
7832 4224,325 107,75330
7833 4224,862 107,75329
7834 4225,399 107,75328
7835 4225,939 107,75328
7836 4226,473 107,75328
7837 4227,007 107,75329
7838 4227,558 107,75323
7839 4228,108 107,75323
7840 4228,643 107,75323
7841 4229,173 107,75323
7842 4229,708 107,75323
7843 4230,258 107,75323
7844 4230,806 107,75322
7845 4231,345 107,75320
7846 4231,880 107,43171
7847 4232,413 107,43170
7848 4232,958 107,43172
7849 4233,502 107,43172
7850 4234,044 107,43173
7851 4234,585 107,43171
7852 4235,130 107,43171
7853 4235,658 107,43171
7854 4236,199 107,43174
7855 4236,742 107,43174
7856 4237,285 107,43174
7857 4237,820 107,43175
7858 4238,368 107,43175
7859 4238,914 107,43175
7860 4239,454 107,43175
7861 4239,989 107,43175
7862 4240,518 107,43173
7863 4241,049 107,43172
7864 4241,580 107,43174
7865 4242,110 107,43174
7866 4242,641 107,43173
7867 4243,186 107,43173
7868 4243,727 107,43173
7869 4244,278 107,42133
7870 4244,813 107,11381
7871 4245,351 107,11360
7872 4245,896 107,11339
7873 4246,437 107,11326
7874 4246,970 107,11312
7875 4247,504 107,11302
7876 4248,032 107,11296
7877 4248,565 107,11202
7878 4249,095 107,11205
7879 4249,629 107,11208
7880 4250,158 107,11208
7881 4250,693 107,11205
7882 4251,230 107,11205
7883 4251,769 107,11207
7884 4252,303 107,11208
7885 4252,851 107,11207
7886 4253,395 107,11208
7887 4253,925 107,11208
7888 4254,471 107,11208
7889 4255,002 107,11209
7890 4255,534 107,11209
7891 4256,068 107,11209
7892 4256,593 107,10526
7893 4257,125 107,10428
7894 4257,662 107,10297
7895 4258,203 106,79832
7896 4258,734 106,79776
7897 4259,276 106,79742
7898 4259,812 106,79708
7899 4260,345 106,79688
7900 4260,879 106,79433
7901 4261,406 106,79430
7902 4261,942 106,79430
7903 4262,478 106,79430
7904 4263,017 106,79430
